name,SMILES
mol_62,Fc1ccc(F)c(C2CCCN2c2ccn3ncc(-n4cc(C(F)(F)F)cn4)c3n2)c1
mol_63,CCn1c(=S)[nH]c2cc3c(NCc4ccccc4N4CCC(CO)CC4)ncnc3cc21
mol_64,CC(C)(C)CCC#CC1CC1c1cnc[nH]1.O=C(O)C=CC(=O)O
mol_65,Cc1[nH]c2ccccc2c1C1CCN(Cc2ccc(C=CC(=O)NO)cc2)C1
mol_66,CC(NCc1ccc(OCc2ccccc2F)cc1)C(N)=O.CS(=O)(=O)O
mol_67,CCCCC(C)CC(O)C=CC1C(O)CC2CC(CCOCC(=O)OC)CC21
mol_68,Oc1c(C(Nc2ccccn2)c2cccs2)ccc2cccnc12
mol_69,C[N+]1(CCF)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2
mol_70,CC1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)C(CN2CCOCC2C)CN1
mol_71,COCC1CNC(C)CN1CC(=O)N1CC(C)(C)c2cnc(Cc3ccccc3)cc21
mol_72,CCN1CC(CCN2CCOCC2=O)C(c2ccccc2)(c2ccccc2)C1=O
mol_73,N#CC(=CC1CC1)C(=O)N1CCCC1Cn1nc(-c2ccc(Oc3ccccc3)cc2F)c2c(N)ncnc21
mol_74,O=C(NCC1CC(Br)=NO1)C1CC(F)CN1C(=O)OCc1cnc2ccccc2c1
mol_75,CCCCCC(=O)NC(C(=O)NC(CCC(=O)N(C)C)C(=O)NC(CC(C)C)C(=O)C1(C)CO1)C(C)C
mol_76,CN1CC(c2ccccc2)C2(CCCN(C(=O)C(COCc3ccccc3)NC(=O)C(C)(C)N)C2)C1=O
mol_77,CNC(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(C(C)(C)C)nc3n2)c1
mol_78,CC1c2ccccc2CCN1c1ssc(=O)c1Cl
mol_79,COc1ccc(-c2ccc3c(N4CCOCC4C)nc(C4=CCOCC4)nc3n2)cc1CO
mol_80,COc1ccc(-c2ccc3c(N4CCOCC4C)nc(C(C)C)nc3n2)cc1CO
mol_81,CC=C(C)C(=O)OC(C(O)c1cc2ccc(=O)oc2cc1OC)C(C)(C)O
mol_82,Nc1ccc(CCNCC(O)c2ccccc2)cc1
mol_83,CN1CC(CCN2CC=C(c3ccccc3)CC2)OC1=O
mol_84,CN1CCN(c2cccc3c2CC(NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)CC1
mol_85,CN1CCN(C(=O)COc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)CC1
mol_86,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc(C3=CC(=O)NS3=O)cc2)c1
mol_87,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncc(O)cn2)CC1
mol_88,CN1CCN(c2cccc3c2CC(NC(=O)c2ccc(OCCC(F)(F)F)nc2)CO3)CC1
mol_89,Cc1cc(-c2cccc3c2CC(NC(=O)c2ccc(OCCOCC(F)(F)F)nc2)CO3)cnc1CO
mol_90,Cc1cnc(-c2cccc3c2CC(NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)cn1
mol_91,O=C1CC2(CCCC2)C(O)C(=O)N1CCCCN1CCN(c2ncccn2)CC1
mol_92,CCc1[nH]c(-c2ccc(OC)cc2)nc1-c1ccncc1
mol_93,CC1(F)CN(C(=O)Cn2cnc3c(c(-c4ccc(F)c(Cl)c4)cn3C3CC3)c2=O)C1
