Name,SMILES,BestFragment,BestScore
,C1CN(CCN1)C2=NC(=C(C=C2)C(F)(F)F)Cl.Cl,Cc1ccc(C(F)(F)F)c(Cl)n1,-6.3
,CC(C)CC1=CC=C(C=C1)C2=NC(=NO2)C3=CC(=C(C=C3)CN4CC(C4)C(=O)O)F,Cc1ccc(CC(C)C)cc1,-6.0
,COC(=O)[C@H](CCC(=O)O)NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13,CCC1c2ccccc2-c2ccccc21,-7.3
,COC1=CC(=CC2=CC=CC=C21)NC(=O)[C@H](CCCN=C(N)N)N,CNc1cc(OC)c2ccccc2c1,-6.3
,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2/C=C/C(=O)OC(C)(C)C)C(=O)OCC)CN(C)C)C.Cl,COC(C)(C)C,-3.5
,COC1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)OC)OC[C@@H]4[C@H](C[C@@H](O4)N5C=CC(=O)NC5=O)O,COc1ccc(C(C)(c2ccccc2)c2ccc(OC)cc2)cc1,-7.5
,CCCCCNCCOC(=O)C1=CC=C(C=C1)N,CC(=O)c1ccc(N)cc1,-5.3
,CC(=O)NC1=NC(=CS1)C2=CC(=CC=C2)NS(=O)(=O)C3=CC=CC4=C3C=CC=C4N(C)C,CN(C)c1cccc2c(S(C)(=O)=O)cccc12,-5.9
,CN1CCN(CC1)C2=NC=C(C(=N2)OCC3=CC=CC=C3)SC4=CC=CC(=C4)NC(=O)CN,CNc1cccc(Sc2cnc(C)nc2C)c1,-5.8
,C[C@@H]1C2=CC=CC=C2CCN1C(=O)C3=NN4C=C(C=NC4=C3)Br,C[C@@H]1c2ccccc2CCN1C,-5.6
,C1C2C(C2NC(=O)NC3=NC=C(C=C3)OC4=CC=C(C=C4)S(=O)(=O)N)C5=C(C=CC(=C5O1)F)F,CNC1C2COc3c(F)ccc(F)c3C21,-7.0
,CN(CC#C)CC1=CC2=CC=CC=C2OC3=CC=CC=C31.C(=C\C(=O)O)\C(=O)O,CCC1=Cc2ccccc2Oc2ccccc21,-7.4
,CCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],CCCCCCCCCCCC(C)=O,-4.9
,CC(C)CC(C(C(=O)NO)O)C(=O)NC(C1=NOC(=N1)C2=CC=CS2)C(C)(C)C,CC(=O)C(O)C(CC(C)C)C(C)=O,-5.4
,C1=CC(=CC=C1C(=NCCCC(=O)O)C2=C(C=CC(=C2)F)O)Cl,CC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,-7.1
,CCOC(=O)COC1=C(C=C(C=C1)/C=C/2\C(=O)NC(=S)S2)OC,CCc1ccc(C)c(OC)c1,-6.0
,CCC1=CC=CC=C1OC[C@H](CN[C@H]2CCCC3=CC=CC=C23)O.Cl,C[C@H]1CCCc2ccccc21,-6.3
,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)[C@H](CCCCN)NC(=O)C,CNc1ccc2c(C)cc(=O)oc2c1,-6.2
,C1COCCN1CCCNC(=O)C=CC(=O)NC2=NC=C3C(=C2)C(=NC=N3)NC4=CC(=C(C=C4)F)Cl,Cc1ccc(F)c(Cl)c1,-5.4
,C1CC(N(C1)C(=O)CC(CC2=CC=CC=C2F)N)CNC(=O)C3=CC=CC=C3,CC(=O)CC(N)Cc1ccccc1F,-6.2
,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)OCC(CO)O,CC(=O)c1cccnc1C,-5.7
,C1COCCN1C2=C(C=C(C=C2)N3CC(OC3=O)CNC(=O)C=CC4=CC=C(C=C4)F)F,Cc1ccc(C)c(F)c1,-5.8
,C1COCCN1C2=C(C=C(C=C2)N3CC(OC3=O)CNC(=O)C=CC4=C(C=C(C=C4)Cl)Cl)F,Cc1ccc(C)c(F)c1,-5.8
,CC(CN(C)C)O.CC(=O)NC1=CC=C(C=C1)C(=O)O,CNc1ccc(C(C)=O)cc1,-5.8
,C1=CC(=C2C=CN=CC2=C1S(=O)(=O)NCCN)Cl.Cl.Cl,CS(=O)(=O)c1ccc(Cl)c2ccncc12,-5.7
,C1CCN(C(C1)C(=O)O)C(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24,CCC1c2ccccc2-c2ccccc21,-7.3
,C1C[C@@H](N(C1)C2=NC3=C(C=NN3C=C2)N4C=C(C=N4)C(F)(F)F)C5=C(C=CC(=C5)F)F,CN1CCC[C@@H]1c1cc(F)ccc1F,-6.1
,CCN1C2=C(C=C3C(=C2)N=CN=C3NCC4=CC=CC=C4N5CCC(CC5)CO)NC1=S,CCn1c(=S)[nH]c2cc3c(C)ncnc3cc21,-6.5
,CC(C)(C)CCC#C[C@@H]1C[C@H]1C2=CN=CN2.C(=C\C(=O)O)\C(=O)O,CCC(C)=O,-3.6
,CC1=C(C2=CC=CC=C2N1)C3CCN(C3)CC4=CC=C(C=C4)C=CC(=O)NO,Cc1[nH]c2ccccc2c1C1CCN(C)C1,-6.7
,C[C@@H](C(=O)N)NCC1=CC=C(C=C1)OCC2=CC=CC=C2F.CS(=O)(=O)O,CCc1ccc(C)cc1,-5.6
,CCCC[C@H](C)C[C@@H](/C=C/[C@@H]1[C@H]2C[C@@H](C[C@H]2C[C@H]1O)CCOCC(=O)OC)O,CCC[C@@H]1C[C@H]2C[C@@H](O)[C@H](CC)[C@H]2C1,-6.1
,C1=CC=NC(=C1)NC(C2=C(C3=C(C=CC=N3)C=C2)O)C4=CC=CS4,CC(c1cccs1)c1ccc2cccnc2c1O,-6.7
,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCF,CC(=O)C(O)(c1ccccc1)c1ccccc1,-6.4
,CC1CN(C(CN1)CN2CCOCC2C)CC(=O)N3CC(C4=C3C=C(C=N4)CC5=CC=C(C=C5)F)(C)C,CN1CC(C)(C)c2ncc(Cc3ccc(F)cc3)cc21,-7.9
,CC1CN(C(CN1)COC)CC(=O)N2CC(C3=C2C=C(N=C3)CC4=CC=CC=C4)(C)C,CN1CC(C)(C)c2cnc(Cc3ccccc3)cc21,-6.5
,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4=O,CCCC1CN(CC)C(=O)C1(c1ccccc1)c1ccccc1,-7.0
,C1CC(N(C1)C(=O)C(=CC2CC2)C#N)CN3C4=NC=NC(=C4C(=N3)C5=C(C=C(C=C5)OC6=CC=CC=C6)F)N,Cc1ccc(C)c(F)c1,-5.8
,C1C(CN(C1C(=O)NCC2CC(=NO2)Br)C(=O)OCC3=CC4=CC=CC=C4N=C3)F,CCc1cnc2ccccc2c1,-6.3
,CCCCCC(=O)NC(C(C)C)C(=O)NC(CCC(=O)N(C)C)C(=O)NC(CC(C)C)C(=O)C1(CO1)C,CNC(CC(C)C)C(=O)C1(C)CO1,-4.7
