Name,SMILES,BestFragment,BestScore
,CC1=CC(=O)OC2=C(C3=C(C=C12)C(=C(O3)C)COCCN)C.Cl,CCc1c(C)oc2c(C)c3oc(=O)cc(C)c3cc12,-8.1
,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)NC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C,CN[C@@H](CC(C)C)C(C)=O,-5.5
,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(=O)C)C)O)Cl)C)F,COCC(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,-8.6
,CCCCC/C=C\C/C=C/C=C/C=C/[C@H]([C@H](CCCC(=O)O)O)O,CC/C=C/[C@@H](O)[C@@H](O)CCCC(C)=O,-5.1
,C1CC(C(=O)NC1)C(=O)NCCC2=CNC3=C2C=C(C=C3)O,CNCCc1c[nH]c2ccc(O)cc12,-6.8
,C1=CC(=C(C(=C1)Cl)CSC2=NN=C(S2)C3=NC=CN=C3)Cl,Cc1nnc(SCc2c(Cl)cccc2Cl)s1,-6.8
,C1CC2=C(CC1CN3C=CN=C3)C=CC(=C2)C(=O)O,Cn1ccnc1,-3.5
,C1CC2=C(C=CC(=C2C1)F)OC[C@@H]3CNCCO3,Cc1ccc(F)c2c1CCC2,-6.3
,C1C2=C(C=C3C=CC4=C(C3=C2C5=CC6=C(C=C5)OCO6)OCO4)C(=O)N1,Cc1c2c(cc3ccc4c(c13)OCO4)C(=O)NC2,-7.1
,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC(=O)C56CC7CC(C5)CC(C7)C6)O.Cl,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,-7.0
,CC1=CC2=C(C(=CN2CC3=C(C(=NC=N3)N(C)C)C)C(=O)NCCO)N=C1,CC(=O)c1cn(C)c2cc(C)cnc12,-5.8
,CC1=C(C(=O)N(N1)C2=CC=CC=N2)C(=O)NC3=CC=CC=C3,CNc1ccccc1,-5.4
,C1CC2=C(C3=CC=CC=C31)C(=O)N(N2)C4=CC=CC=N4,Cn1[nH]c2c(c1=O)-c1ccccc1CC2,-7.5
,C1CC(CCC1CN)CNC2=NC(=NC=C2[N+](=O)[O-])NCC3=CC=CC=C3OC(F)(F)F,CCc1ccccc1C,-5.7
,C1[C@@H](CN(C[C@@H]1N)C2=C3C=CC=NC3=C(C=C2)C#N)C(F)(F)F,Cc1ccc(C#N)c2ncccc12,-6.5
,CC(=O)O[C@@H]1CCC([C@@H]2[C@@]1(C(=O)CC[C@@H]3C=C([C@@H](C2)O)C(=O)C3=C)C)(C)C,C=C1C(=O)C2=C[C@H]1CCC(=O)[C@@]1(C)[C@H](C[C@H]2O)C(C)(C)CC[C@H]1OC,-7.9
,CC(C)NCC(COC1=CC=CC2=C1C=C(C=C2)O)O.Cl,CCC(O)CC,-4.1
,CN(C)C1(CC1)COC2=CN=C(C=C2)Br,Cc1ccc(Br)nc1,-4.4
,CCOC(=O)C1=C(C(=C(N=C1COCCN)C)C(=O)OC)C2=CC=CC=C2Cl,CCc1nc(C)c(C(C)=O)c(C)c1C(C)=O,-5.6
,C1=CC2=C(C=C1OC(F)(F)F)C=C(C(O2)C(F)(F)F)C(=O)O,CC(=O)C1=Cc2cc(C)ccc2OC1C(F)(F)F,-6.8
,[2H]C([2H])(C([2H])([2H])O)N(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OS(=O)(=O)O,Cc1ccnc2cc(Cl)ccc12,-5.4
,C(CN(CCNC(=O)C(Cl)Cl)CCNC(=O)C(Cl)Cl)NC(=O)C(Cl)Cl.Cl,CC(=O)C(Cl)Cl,-3.6
,CN(C)CCOC(=O)C1=CC2=C(C=C1)NC3=C2CSCC3,CC(=O)c1ccc2[nH]c3c(c2c1)CSCC3,-6.9
,COC(=O)[C@@H]1CCCN1C(=O)OCC2=CC=CC=C2,CCc1ccccc1,-5.2
,[2H]C([2H])(CC(=O)O)C([2H])([2H])/C=C\C[C@@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCCCC)O)O)O,CCC[C@H]1[C@@H](CC)[C@H](O)C[C@@H]1O,-5.4
,CCCCC1=NC2=C(N1CCCCN)C3=CC=CC=C3N=C2N.Cl.Cl.Cl,CCCCc1nc2c(N)nc3ccccc3c2n1C,-7.7
,[2H][13C]([2H])([2H])N1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,CC1c2ccccc2CC(=O)c2sccc21,-6.7
,C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3.Cl,Cc1ccnc2ccccc12,-6.7
,CC1=C2[C@@H](CCOC2=CC=C1)NC3=CC(=CN4C3=NC(=C4)C)C(=O)N(C)CCO,Cc1cccc2c1[C@H](C)CCO2,-6.3
,[2H]C([2H])([2H])N(CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2)C([2H])([2H])[2H],CC(c1ccc(Cl)cc1)c1ccccn1,-6.7
,CCOC(=O)C1CSC(N1)CC2=CC=C(C=C2)OCC3=CC=C(C=C3)[N+](=O)[O-],CC(=O)C1CSC(Cc2ccc(C)cc2)N1,-6.1
,[2H]C1=C(C(=C(C(=C1[2H])[2H])CC[C@@H](C(=O)O)N[C@@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)O)[2H])[2H],CC(=O)[C@@H](C)CCCCN,-4.6
,COCCNC(=O)NC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CS3)C4=CC=CS4,Cc1cccs1,-3.4
,CCN1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)NC3=CC=C(C=C3)Cl,CCN1CCc2c(sc(NC)c2C(N)=O)C1,-5.6
,CCCCCCCCCCCCCCC(C(=O)OC)O,CCCCCCCCCCCCCCC(O)C(C)=O,-4.9
,CC(=O)C1=CC2=C(C=C1)C=C(C=C2)NC[C@@H](C(=O)O)N.Cl,CC(=O)c1ccc2cc(C)ccc2c1,-5.7
,CC(C)CCCC(=O)CCCCCCC(=O)CCN(C(=O)[C@H](CO)N)O,CCCC(=O)CCCCCCC(=O)CCCC(C)C,-4.5
,CCCCN(CCCC)CCC[C@H](C1=CC=C(C=C1)NS(=O)(=O)C)O,CCCC[C@@H](O)c1ccc(C)cc1,-6.2
,CCC(=O)N([C@@H]1CCC[C@H]1N(C)C)C2=CC(=C(C=C2)Cl)Cl,Cc1ccc(Cl)c(Cl)c1,-5.2
,[2H]C([2H])(CC(=O)O)C([2H])([2H])/C=C\C[C@H]1C=CC(=O)[C@@H]1/C=C/[C@H](CCCCC)O,CCC[C@H]1C=CC(=O)[C@@H]1CC,-5.9
,[2H]C1=C(C(=C2C(=C(C(=C(C2=C1[2H])[2H])[2H])[2H])C3CC/C(=C\Br)/OC3=O)[2H])[2H],CCBr,-2.4
,CC(=O)OC1=C(C=C(C=C1)C2=CC=C(C=C2)F)C(=O)O,CC(=O)c1cc(C)ccc1C,-5.8
,C[C@@H](CN1CCC(CC1)CC2=CC=CC=C2)[C@H](C3=CC=C(C=C3)O)O.C(=C\C(=O)O)\C(=O)O,CC[C@H](C)[C@@H](O)c1ccc(O)cc1,-6.3
,CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)N[C@@H](CC3=CC(=CC=C3)F)CN)Cl.Cl,CN[C@H](CN)Cc1cccc(F)c1,-5.4
,CCCCCCCCCCCC(=O)NC1CCOC1=O,CCCCCCCCCCCC(C)=O,-4.9
,CC1=CC(=C(C=C1)SC2=NC3=C(N2)C(=N)N=CN3CCCC#C)C,C#CCCCC,0.0
,COC1=CC=C(C=C1)CCC(=O)N([C@@H]2CCCNC2)C3=NC=CC4=CC=CC=C43,Cc1nccc2ccccc12,-6.0
,C1[C@H]2C(=O)N(C(=O)N2[C@@H](C3=C1C4=CC=CC=C4N3)C5=CC(=CC=C5)O)CC6=CC=CC=C6,CN1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3cccc(O)c3)N2C1=O,-9.2
,[2H]C1(C(N(C(C(N1C)([2H])[2H])([2H])[2H])C2=C(C=C3C4=C2OC[C@@H](N4C=C(C3=O)C(=O)O)C)F)([2H])[2H])[2H].Cl,CC(=O)c1cn2c3c(c(C)c(F)cc3c1=O)OC[C@@H]2C,-7.8
,CCN(C)CCC1=CNC2=CC=CC=C21.C(=O)(C(=O)O)O,CO,-2.2
,C/C(=C\CO)/C(=O)O[C@@H]1CC(=C)[C@@H]2C=C[C@@]([C@@H]2[C@@H]3[C@@H]1C(=C)C(=O)O3)(C)O,C=C1C(=O)O[C@H]2[C@H]1[C@H](OC)CC(=C)[C@@H]1C=C[C@@](C)(O)[C@H]21,-7.3
,COC1=C(C(=NC=C1C2=C(N=CC=C2)OC)OC)C(C3=CC4=CC=CC=C4C=C3)O,COc1ncc(C)c(OC)c1C(O)c1ccc2ccccc2c1,-7.3
,C1=CC(=C(C=C1/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,CCc1ccc(O)c(O)c1,-5.4
,CC1=C(SC2=C1C(=NC=N2)SCC(=O)O)C,CC(=O)CSc1ncnc2sc(C)c(C)c12,-6.1
,C1=CC(=CC=C1N2C(=O)C(=C(C=N2)Br)Br)S(=O)(=O)N,Cn1ncc(Br)c(Br)c1=O,-4.6
,CC1=[N+](C2=C(N1CC3=CC=C(C=C3)F)C(=O)C4=CC=CC=C4C2=O)CC5=CC=CC=C5.[Cl-],Cc1n(C)c2c([n+]1Cc1ccccc1)C(=O)c1ccccc1C2=O,-0.0
,CCCN1C=NC2=C(N=C(N=C21)N[C@H](CC)CO)NCC3=CC=C(S3)C,CCCn1cnc2c(C)nc(C)nc21,-5.7
,CC1=NOC2=C1C3=C(C=C(C=C3)C4=CN(N=C4)C)C(=N[C@H]2CC(=O)N)C5=CC=C(C=C5)Cl,Cc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(N)=O)c1onc(C)c1-2,-8.2
,CN1C2=NC(=C3C(=C2C=N1)NN(C3=O)C4=CC=C(C=C4)F)C5=CC(=CC=C5)C(F)(F)F,Cc1nc2c(cnn2C)c2[nH]n(C)c(=O)c12,-6.4
,CC(C)(C)OC(=O)N1CCN(CC1)CC2=CC=C(C=C2)NC(=O)CC3=NN(C(=O)C4=CC=CC=C43)C,CC(=O)Cc1nn(C)c(=O)c2ccccc12,-6.6
,CNCCN1CCC(CC1)OCC2=CC=CC=C2.C(=O)(C(=O)O)O,CCc1ccccc1,-5.2
,C1CC(=O)NN=C1C2=CC=C(C=C2)N3C=CN=C3.Cl,Cc1ccc(C2=NNC(=O)CC2)cc1,-5.9
,C1=CC2=C(C(=C1)C(=O)O)OC3=C2C=CC=C3C(=O)O,CC(=O)c1cccc2c1oc1c(C(C)=O)cccc12,-8.2
,COCCOC1=CC=CC=C1C2=NN=C(C3=C2SC=C3)NC4=C(C=C(C=C4)CC(=O)N)F,Cc1ccc(CC(N)=O)cc1F,-6.2
,COC(=O)C1=CC2=C(C=C1)C3=C(N2)N=CN=C3NCCCN4CCCCC4,CCCCNc1ncnc2[nH]c3cc(C(C)=O)ccc3c12,-7.4
,CN(C(=O)N1[C@@](SC(=N1)C2=C(C=CC(=C2)F)F)(CCCN)C3=CC=CC=C3)OC,CN1N=C(c2cc(F)ccc2F)S[C@]1(CCCN)c1ccccc1,-7.1
,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)CC=C,CC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,-7.3
,C1CN(CCC1C(=O)NC2=CC=CC=C2O)C(=O)CCl,CNc1ccccc1O,-6.0
,CCN(CC)CCNC(=O)C1=C(C=C(C(=C1)C#N)Cl)OC.Cl,COc1cc(Cl)c(C#N)cc1C(C)=O,-5.5
,C1CCC(CC1)C(=O)N2C[C@@H]3C4=CC=CC=C4CCN3C(=O)C2,CN1CC(=O)N2CCc3ccccc3[C@H]2C1,-7.1
,C#CCCC1(N=N1)CCCCCCCCC(=O)O,C#CCCC1(CCCCCCCCC(C)=O)N=N1,-5.4
,CC1=C(C(=NC(=N1)C2=CC=C(C=C2)OC)OCCCN3CCCCC3)Cl,CCCCOc1nc(C)nc(C)c1Cl,-5.5
,C1=CC(=CC(=C1)NC(=O)C2=CC=CO2)C(=O)NC3=CC(=C(C=C3)O)C(=O)O,CNc1cccc(C(C)=O)c1,-6.4
,CC1=CN2C(=CN=C2C(=N1)NC3=CC(=NS3)C(C4=CC=CC=N4)NC(C)(C)C)C5=CNN=C5,Cc1cc(C(C)c2ccccn2)ns1,-5.8
,CCCCCOC1=CC=CC=C1C(=O)NC23CC4CC(C2)CC(C4)C3,CC(=O)c1ccccc1C,-5.9
,CN1CCC[C@@H](CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,-8.4
,[2H]C1=C(C(=C(C(=C1[2H])[2H])C2=C(N=C(O2)CCC(=O)O)C3=CC=CC=C3)[2H])[2H],CC(=O)CCc1nc(C)c(C)o1,-5.2
,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)CC2C(=O)NC3=C(N2)C=C(C(=C3)C)C,CC(=O)CC1Nc2cc(C)c(C)cc2NC1=O,-6.7
,[2H]C([2H])([2H])C([2H])([2H])OC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,CC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,-7.4
,CC1CC2C(C(CC3(CCC1(O3)O)C)OC(=O)C(C)C)C(=C)C(=O)O2,C=C1C(=O)OC2CC(C)C3(O)CCC(C)(CC(C)C12)O3,-7.4
,[2H]C1(C(C1([2H])[2H])C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F)[2H],CC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,-7.9
,C1CC(=O)NC(=O)[C@H]1N2C3=C4C(=C(C=C3)CC5=CC=C(C=C5)CN6CCOCC6)C=CC=C4C2=O,CCc1ccc(Cc2ccc3c4c(cccc24)C(=O)N3C)cc1,-9.6
,C1[C@H]([C@@H](CN1C(=O)C2=CC(=CC=C2)OC3=CC(=CC(=N3)C(F)(F)F)CN)F)O.Cl,Cc1cc(CN)cc(C(F)(F)F)n1,-5.8
,CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)N)O,CNCc1ccc(C)cc1,-5.6
,CC1=CC(=NC(=N1)N2CCC3(CCCN(C3=O)CC4=CNC5=C4C=C(C=C5)OC)CC2)C,Cc1cc(C)nc(C)n1,-4.6
,CN1C=CC=C1C(=O)N2CCC3=C(C2)C=CC(=C3)C(=O)NO,CC(=O)c1ccc2c(c1)CCN(C)C2,-5.7
,COC1=NC2=C(C=C1)N3CC4=C(C3=C2CCNC(=O)C5=CC=CO5)N=CC=C4,CC(=O)c1ccco1,-4.5
,C1=CC=C(C=C1)CCN2C=C(C(=N2)C(=O)O)NC(=O)CSC3=CC=C(C=C3)Br,CCCc1ccccc1,-5.6
,CCCCCCCCCCCCCC(CC(=O)NCC(=O)O)O,CCCCCCCCCCCCCC(O)CC(C)=O,-4.7
,CC(=O)[C@]12[C@H](O1)C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)OC(=O)C)C)C,CO[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3C[C@H]3O[C@]32C(C)=O)C1,-7.9
,C1=CC=C2C(=C1)C(=NN(C2=O)CC3=CC=C(C=C3)C#N)C4=CC(=C(N=C4F)NCC(CO)O)Cl,Cc1nn(C)c(=O)c2ccccc12,-6.5
,CCC1=C(C(=NN1C2=CC=CC=C2C3=CC(=CC=C3)OCC(=O)[O-])C4=CC=CC=C4)C5=CC=CC=C5.[Na+],Cc1ccccc1C,-5.1
,CC1=CC(=CN=C1)OC2=CC(=NC=C2C3=CN=C(C=C3)OCC(C)(C)O)NC(=O)NC,CNc1cc(C)c(C)cn1,-5.0
,CC1(C2=C(C=CC(=C2)N3CCC(CC3)N4CCOCC4)C(=O)C5=C1NC6=C5C=CC(=C6)C#N)C,CN1CCOCC1,-3.6
,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NC3=CC=C(C=C3)O)NC(=O)N2,CNc1ccc(O)cc1,-5.8
,COC1=CC(=O)OC(C1)/C=C/C2=CC3=C(C=C2)OCO3,CCc1ccc2c(c1)OCO2,-5.8
,CC/C=C\C[C@@H](/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O,CCC[C@H]1C(=O)C=C[C@@H]1CC,-5.4
,CC1=C(C(=NC(=N1)C2=CC=C(C=C2)F)OCCCN3CCCCC3)Cl,CCCCOc1nc(C)nc(C)c1Cl,-5.5
,CNCC1=CC=C(C=C1)C2=CC3=CC(=CC(=C3O2)C(=O)N)F.Cl,Cc1cc2cc(F)cc(C(N)=O)c2o1,-5.7
,C1CCN(CC1)C2CCN(CC2)C(=O)C3=CC=C(C=C3)C(=O)N4CCC(CC4)N5CCCCC5,CC(=O)c1ccc(C(C)=O)cc1,-5.7
,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=CC=C6,Cc1ccccc1,-4.7
,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)Br,CCc1ccc(Br)cc1,-5.5
,CC1=C(C=CC=C1NC2=C(C=C(C=N2)O)C(=O)O)C(F)(F)F,Cc1cccc(C(F)(F)F)c1C,-6.5
,CN=C1N=C(N(S1)C2=CC=CC=C2)C3=CC=CC=C3.Br,Cc1ccccc1,-4.7
,COC1=CC(=C(C=C1)C2=NN(C3=C2C=CC=C3C(F)(F)F)CC=C)OC,Cc1nn(C)c2c(C(F)(F)F)cccc12,-6.7
,CC(C)(CN1C(=O)C(=C(C1=O)Cl)Cl)CN2C(=O)C(=C(C2=O)Cl)Cl,CCC(C)(C)CC,-4.2
,CC1=NC2=C(C(=CS2)C3=CC=CC=C3)C(=O)N1N,Cc1csc2nc(C)n(C)c(=O)c12,-6.3
,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C.[Cl-],CO[C@H](CC(C)=O)C[N+](C)(C)C,-4.4
,CCC(=O)N1CCOC2=C(C1)C=C(C=C2OC[C@H]3CCCN(C3)C)C4=CC(=C(C=C4)OC)OC.Cl,COc1ccc(C)cc1OC,-6.2
,CCCC1=CC(=O)NC(=N1)SCC(=O)NC2=CC=C(C=C2)OC(F)F,CCCc1cc(=O)[nH]c(SCC(C)=O)n1,-5.7
,CCNCC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.Cl,CCNCc1cc(C)ccc1O,-5.8
,CC(=O)OCC12C(CCC(C1CO)(C)C)OC(=O)C34C2C(CC(C3)C(=C)C4=O)O,C=C1C(=O)C23CC1CC(O)C2C1(CC)C(CCC(C)(C)C1CO)OC3=O,-8.0
,C1C/C(=C\Br)/OC(=O)[C@@H]1C2=CC=CC3=CC=CC=C32,CC1CC[C@@H](c2cccc3ccccc23)C(=O)O1,-7.4
,[2H]C1(C(N(C(C(N1CCOCC(=O)O)([2H])[2H])([2H])[2H])C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl)([2H])[2H])[2H],CC(c1ccccc1)c1ccc(Cl)cc1,-7.1
,CCC1(C(=O)N(C(=O)N1)CC2=CC=CC=C2)C3=CC=CC=C3,CCC1(c2ccccc2)NC(=O)N(C)C1=O,-6.7
,C1C2C=CC1C(C2C(=O)NC3=CC(=C(C=C3)Cl)Cl)C(=O)O,CC(=O)C1C2C=CC(C2)C1C(C)=O,-5.7
,C/C=C(/C)\C(=O)O[C@H]1C(=C[C@@]23C1([C@H]4C(=C[C@H](C2=O)[C@H]5[C@H](C5(C)C)C[C@H]3C)COC(O4)(C)C)O)C,CO[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C4COC(C)(C)O[C@H]4C12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,-9.3
,CCN(CCC[C@H](C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,Cc1ccnc2cc(Cl)ccc12,-5.4
,C1=CC=C2C=C(C=CC2=C1)C(=O)CN3C=CN=C3.Cl,CCC(=O)c1ccc2ccccc2c1,-7.1
,CN(C)C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)F,Cc1nc2ccc(F)cc2[nH]1,-6.0
,[2H]C1=C(C(=C(C(=C1NC(=O)C)[2H])[2H])S(=O)(=O)C2=CC=C(C=C2)N)[2H],CC(C)=O,-3.1
,C1CCC2(CC1)[C@@]3([C@H]([C@@H](N2)C(=O)O)C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC3=O,CC(=O)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,-9.7
,CC(C)C(C1=CC2=CC(=C(C=C2C=C1)OC(F)F)OC(F)F)(C3=NNN=C3)O,Cc1cc2ccc(C(O)(c3cn[nH]n3)C(C)C)cc2cc1C,-7.5
,CCOC(=O)[C@@H](CCC1=CC=CC=C1)N[C@H]2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl,C[C@H]1CCc2ccccc2N(C)C1=O,-6.3
,C1CC(CCC1(CNC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)F)O)(F)F,CC(=O)c1cc(=O)c2cc(F)ccc2o1,-6.8
,CN1C[C@@H](C[C@@H](C1)NC2=C(C(=O)N(N=C2)C)Br)C3=CC=CC=C3,C[C@H]1C[C@@H](c2ccccc2)CN(C)C1,-5.8
,CS(=O)(=O)C1=C2C(C(CC2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)O,Cc1cc(F)cc(C#N)c1,-6.4
,C1C[C@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@H]4CN5CCC4CC5.Cl,CN1C[C@@H]2CCCc3cccc(c32)C1=O,-6.9
,C1[C@@H]([C@@H]([C@H](C1=O)/C=C/[C@H](COC2=CC=CC(=C2)C(F)(F)F)O)C/C=C\CCCC(=O)O)O,Cc1cccc(C(F)(F)F)c1,-6.1
,C1CN(CCN1)C2=CC=CC(=C2)C3=CC(=C(N=C3)N)C(=O)NC4=CC=NC=C4,CC(=O)c1cc(C)cnc1N,-5.1
,C1CN2C(CN1CC3=CC=C(C=C3)Cl)C(=O)N(C2=O)OC(=O)N4CCOC5=CC=CC=C54,CCc1ccc(Cl)cc1,-5.4
,CC1=CC2=NC(=C(N2C=C1)C[C@@H]3CCCN(C3)C(=O)OC)C4=C(C=C(C=C4F)C(=O)NC)F,Cc1ccn2c(C[C@@H]3CCCN(C)C3)c(C)nc2c1,-7.0
,CC1=CC(=C(C=C1)C)CN2C3=C(C=CC(=C3)C4=CN(N=C4)C)N=C2C(C5=CC=NC=C5)O,Cc1ccc2nc(C(O)c3ccncc3)n(C)c2c1,-5.9
,CCCCNC(=O)C1=C(SC(=C1)C2=CC=CC=C2)N,Cc1ccccc1,-4.7
,C/C(=C\C=C\[C@@]1([C@@H]2CC[C@@]3([C@@]2(CCC(=CC3)C(=O)O)O)C(=O)O1)C)/C(=O)O,CC/C=C/[C@@]1(C)OC(=O)[C@]23CC=C(C(C)=O)CC[C@]2(O)[C@H]1CC3,-7.6
,CC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC,CC[C@H]1C[C@H]2CN3CCc4c([nH]c5ccccc45)[C@](C(C)=O)(C2)[C@H]13,-7.4
,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]([C@@H]1CCCCCCC(=O)O)O)O)O,CC[C@@H]1[C@@H](CCCCCCC(C)=O)[C@H](O)C[C@H]1O,-5.5
,[2H]C1=C(C(=C(C(=C1[2H])[N+](=O)[O-])[2H])C2C(=C(NC(=C2C(=O)OC)C#N)C)C(=O)OC(C)C)[2H],CC(C)C,-3.2
,[2H]C([2H])([2H])N(CCCN(C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C)C(=O)NCC)C([2H])([2H])[2H],CC(=O)[C@@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,-7.0
,CCC(C)C(C1=CC=CC=C1)C(=O)OC2CC[N+](CC2)(C)C.COS(=O)(=O)[O-],CCC(C)C(C(C)=O)c1ccccc1,-5.6
,CCN(CC)CCOC1=CC2=C(C=C1)N=C(S2)N(C)C.Cl.Cl,Cc1ccc2nc(N(C)C)sc2c1,-6.4
,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)NCCC3=CNC4=C3C=C(C=C4)O,CC(=O)c1ccc2ccccc2c1O,-7.1
,CC1=CC=C(C=C1)C2=C(N(C3=NC=NC(=C23)N)CCCNCCOC)C(=O)CF,CCCCn1c(C(=O)CF)c(C)c2c(N)ncnc21,-6.1
,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC.Cl,CNc1c(C)n(C)n(C)c1=O,-5.6
,CCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC,CC[C@@H](C)COP(=O)([O-])OCC[N+](C)(C)C,-5.3
,CC(=O)N[C@@H](CSC(=C(Cl)Cl)Cl)C(=O)O,CN[C@@H](CSC(C)Cl)C(C)=O,-4.3
,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,CC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1cccc(Cl)c1Cl,-6.6
,[2H]C1=C(C(=C(C(=C1[2H])Cl)Cl)C2=C(N=C(N=N2)N)N)[2H],Cc1nnc(N)nc1N,-6.0
,COC1=NC=C(C=C1)NC2=NC(=NC(=C2)C3=CN=C(N=C3)N)N4CCOCC4,COc1ccc(C)cn1,-5.7
,CCN(CC1=NSC(=C1)NC2=NC(=CN3C2=NC=C3C4=CNN=C4)C)C(C)(C)CO.Cl,CCc1cc(C)sn1,-5.0
,C1CC(CN(C1)C2=NC=NC3=C2C=CN3)NC(=O)CNC4=CC(=CC=C4)Cl,Cc1cccc(Cl)c1,-5.2
,CCC(=O)N(C1CC[N+](CC1)(CCC2=CC=CC=C2)[O-])C3=CC=CC=C3,CC1CC[N+]([O-])(CCc2ccccc2)CC1,-5.6
,CC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)F,CC(=O)c1nc(S(=O)(=O)Cc2ccc(F)cc2)ncc1Cl,-7.3
,C1CCC2=C(CC1)SC(=C2)C(=O)N3CCC(CC3)N4C5=CC=CC=C5NC4=O,CC(=O)c1cc2c(s1)CCCCC2,-6.0
,CCCN1C(=O)C2=C(C=CS2)N(C1=O)CC3=CC(=CC=C3)NC(=O)CC4=CC=CC=C4,CC(=O)Cc1ccccc1,-5.6
,CN1CCN(CC1)C(=O)C2=NC3=C(N2)C=C(C=C3)Cl.C(=C\C(=O)O)\C(=O)O,CC(=O)c1nc2ccc(Cl)cc2[nH]1,-5.5
