SMILES,Canonical_SMILES
CCC[C@@H]1C[C@H]2C[C@@H](O)[C@H](CC)[C@H]2C1,CCCC1CC2CC(O)C(CC)C2C1
CC(c1cccs1)c1ccc2cccnc2c1O,CC(c1cccs1)c1ccc2cccnc2c1O
CC(=O)C(O)(c1ccccc1)c1ccccc1,CC(=O)C(O)(c1ccccc1)c1ccccc1
CN1CC(C)(C)c2ncc(Cc3ccc(F)cc3)cc21,CN1CC(C)(C)c2ncc(Cc3ccc(F)cc3)cc21
CN1CC(C)(C)c2cnc(Cc3ccccc3)cc21,CN1CC(C)(C)c2cnc(Cc3ccccc3)cc21
CCCC1CN(CC)C(=O)C1(c1ccccc1)c1ccccc1,CCCC1CN(CC)C(=O)C1(c1ccccc1)c1ccccc1
Cc1ccc(C)c(F)c1,Cc1ccc(C)c(F)c1
CCc1cnc2ccccc2c1,CCc1cnc2ccccc2c1
CNC(CC(C)C)C(=O)C1(C)CO1,CNC(CC(C)C)C(=O)C1(C)CO1
CCc1ccccc1,CCc1ccccc1
Cc1ccc2c(C)nc(C(C)(C)C)nc2n1,Cc1ccc2c(C)nc(C(C)(C)C)nc2n1
CC1c2ccccc2CCN1C,CC1c2ccccc2CCN1C
COc1ccc(C)cc1CO,COc1ccc(C)cc1CO
COc1ccc(C)cc1CO,COc1ccc(C)cc1CO
COc1cc2oc(=O)ccc2cc1[C@@H](O)[C@H](C)C(C)(C)O,COc1cc2oc(=O)ccc2cc1C(O)C(C)C(C)(C)O
CCCc1ccc(N)cc1,CCCc1ccc(N)cc1
CN1CC=C(c2ccccc2)CC1,CN1CC=C(c2ccccc2)CC1
CNC1COc2cccc(C)c2C1,CNC1COc2cccc(C)c2C1
CN1CCN(C)CC1,CN1CCN(C)CC1
Cc1ccc(C2=CC(=O)NS2=O)cc1,Cc1ccc(C2=CC(=O)NS2=O)cc1
CN1C(=O)CC2(CCCC2)CC1=O,CN1C(=O)CC2(CCCC2)CC1=O
CC(=O)c1ccc(C)nc1,CC(=O)c1ccc(C)nc1
CNC1COc2cccc(C)c2C1,CNC1COc2cccc(C)c2C1
CNC1COc2cccc(C)c2C1,CNC1COc2cccc(C)c2C1
