DRUG SMILES,FRAG_SMILES
CC1c2ccccc2CCN1C(=O)c1cc2ncc(Br)cn2n1,CC1c2ccccc2CCN1C
NS(=O)(=O)c1ccc(Oc2ccc(NC(=O)NC3C4COc5c(F)ccc(F)c5C43)nc2)cc1,CNC1C2COc3c(F)ccc(F)c3C21
C#CCN(C)CC1=Cc2ccccc2Oc2ccccc21.O=C(O)C=CC(=O)O,CCC1=Cc2ccccc2Oc2ccccc21
CCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],CCCCCCCCCCCC(C)=O
CC(C)CC(C(=O)NC(c1noc(-c2cccs2)n1)C(C)(C)C)C(O)C(=O)NO,CC(=O)C(O)C(CC(C)C)C(C)=O
O=C(O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,CC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O
CCOC(=O)COc1ccc(C=C2SC(=S)NC2=O)cc1OC,CCc1ccc(C)c(OC)c1
CCc1ccccc1OCC(O)CNC1CCCc2ccccc21.Cl,CC1CCCc2ccccc21
CC(=O)NC(CCCCN)C(=O)Nc1ccc2c(C)cc(=O)oc2c1,CNc1ccc2c(C)cc(=O)oc2c1
O=C(C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,Cc1ccc(F)c(Cl)c1
NC(CC(=O)N1CCCC1CNC(=O)c1ccccc1)Cc1ccccc1F,CC(=O)CC(N)Cc1ccccc1F
Cc1c(Cl)cccc1Nc1ncccc1C(=O)OCC(O)CO,CC(=O)c1cccnc1C
O=C(C=Cc1ccc(F)cc1)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,Cc1ccc(C)c(F)c1
O=C(C=Cc1ccc(Cl)cc1Cl)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,Cc1ccc(C)c(F)c1
CC(=O)Nc1ccc(C(=O)O)cc1.CC(O)CN(C)C,CNc1ccc(C(C)=O)cc1
Cl.Cl.NCCNS(=O)(=O)c1ccc(Cl)c2ccncc12,CS(=O)(=O)c1ccc(Cl)c2ccncc12
O=C(O)C1CCCCN1C(=O)OCC1c2ccccc2-c2ccccc21,CCC1c2ccccc2-c2ccccc21
Fc1ccc(F)c(C2CCCN2c2ccn3ncc(-n4cc(C(F)(F)F)cn4)c3n2)c1,CN1CCCC1c1cc(F)ccc1F
CCn1c(=S)[nH]c2cc3c(NCc4ccccc4N4CCC(CO)CC4)ncnc3cc21,CCn1c(=S)[nH]c2cc3c(C)ncnc3cc21
