NAME,DRUG SMILES,FRAG_SMILES,docking score ,Molecular Weight,LogP,#Rotatable Bonds,#Acceptors,#Donors,Surface Area,"Absorption
Water solubility","Absorption
Caco2 permeability","Absorption
Intestinal absorption (human)","Absorption
Skin Permeability","Absorption
P-glycoprotein substrate","Absorption
P-glycoprotein I inhibitor","Absorption
P-glycoprotein II inhibitor","Distribution
VDss (human)","Distribution
Fraction unbound (human)","Distribution
BBB permeability","Distribution
CNS permeability","Metabolism
CYP2D6 substrate","Metabolism
CYP3A4 substrate","Metabolism
CYP1A2 inhibitior","Metabolism
CYP2C19 inhibitior","Metabolism
CYP2C9 inhibitior","Metabolism
CYP2D6 inhibitior","Metabolism
CYP3A4 inhibitior","Excretion
Total Clearance","Excretion
Renal OCT2 substrate","Toxicity
AMES toxicity","Toxicity
Max. tolerated dose (human)","Toxicity
hERG I inhibitor","Toxicity
hERG II inhibitor","Toxicity
Oral Rat Acute Toxicity (LD50)","Toxicity
Oral Rat Chronic Toxicity (LOAEL)","Toxicity
Hepatotoxicity","Toxicity
Skin Sensitisation","Toxicity
T.Pyriformis toxicity","Toxicity
Minnow toxicity"
152055328,C[C@H](CCc1ccccc1)NC(=O)NC[C@H]1CN2CCCC[C@H]2CO1,CN[C@H](C)CCc1ccccc1,-5.7,163.264,2.2271,4,1,1,74.806,-2.249,1.518,94.436,-1.765,No,No,No,0.984,0.368,0.627,-1.377,No,No,No,No,No,Yes,No,1.165,Yes,No,0.554,No,No,2.514,1.763,Yes,Yes,0.629,1.471
152055330,NC(=O)[C@@H]1CCC[C@@H](C(=O)NC[C@@H](CO)c2ccccc2Cl)C1,CC(=O)[C@@H]1CCC[C@@H](C(N)=O)C1,-5.8,169.224,0.8671,2,2,1,72.316,-1.046,1.198,81.786,-2.685,No,No,No,-0.197,0.528,-0.254,-2.897,No,No,No,No,No,No,No,0.258,No,Yes,0.629,No,No,1.983,2.649,No,No,-0.036,2.09
152055331,C[C@H](c1ccccc1)[NH+]1CCC(NC(=O)NCCn2cccn2)CC1,CNC1CC[NH+]([C@H](C)c2ccccc2)CC1,-6.1,219.352,1.0143,3,1,2,98.655,-1.288,1.443,78.909,-2.841,Yes,No,No,1.465,0.557,0.267,-1.915,No,Yes,No,No,No,No,No,1.216,No,No,0.072,No,No,2.526,1.042,No,Yes,0.781,2.978
152055333,C[C@@H]1CC(CNC(=O)c2cc([N+](=O)[O-])nn2C)C[C@@H](C)O1,CC(=O)c1cc([N+](=O)[O-])nn1C,-5.2,169.14,0.5309,2,5,0,67.948,-1.779,0.623,93.567,-2.83,No,No,No,-0.431,0.544,-0.513,-2.979,No,No,No,No,No,No,No,0.657,No,Yes,0.987,No,No,2.183,1.455,No,No,1.05,2.244
152055334,C[C@H](CCc1ccccc1)NC(=O)NC[C@H]1C[N@@H+]2CCCC[C@H]2CO1,CN[C@H](C)CCc1ccccc1,-5.7,163.264,2.2271,4,1,1,74.806,-2.249,1.518,94.436,-1.765,No,No,No,0.984,0.368,0.627,-1.377,No,No,No,No,No,Yes,No,1.165,Yes,No,0.554,No,No,2.514,1.763,Yes,Yes,0.629,1.471
152055335,COC(=O)[C@H](CF)NC(=O)c1cccc(OCc2cscn2)c1,CC(=O)c1cccc(C)c1,-5.6,134.178,2.19762,1,1,0,60.688,-2.303,1.266,97.051,-1.997,No,No,No,0.161,0.385,0.388,-1.923,No,No,Yes,No,No,No,No,0.282,No,No,1.166,No,No,1.717,2.03,No,Yes,0.218,1.372
152055336,C[C@H](CCc1ccccc1)NC(=O)NC[C@H]1C[N@H+]2CCCC[C@H]2CO1,CN[C@H](C)CCc1ccccc1,-5.7,163.264,2.2271,4,1,1,74.806,-2.249,1.518,94.436,-1.765,No,No,No,0.984,0.368,0.627,-1.377,No,No,No,No,No,Yes,No,1.165,Yes,No,0.554,No,No,2.514,1.763,Yes,Yes,0.629,1.471
152055338,C[C@H](c1ccccc1)N1CCC(NC(=O)NCCn2cccn2)CC1,CC(C)c1ccccc1,-6.1,120.195,2.81,1,0,0,56.526,-3.657,1.503,95.502,-0.968,No,No,No,0.489,0.259,0.494,-1.292,No,No,Yes,No,No,No,No,0.235,No,No,0.921,No,No,1.719,2.366,No,Yes,0.501,0.785
152055340,C[C@@H](C(=O)N1CCCCCC1)N1CCO[C@H](c2cccc(C#N)c2)C1,CN1CCO[C@H](c2cccc(C#N)c2)C1,-6.3,202.257,1.56138,1,3,0,89.881,-1.74,1.532,96.024,-2.664,No,No,No,0.691,0.459,-0.051,-2.026,No,No,No,No,No,No,No,0.851,No,No,0.314,No,No,2.671,1.181,No,Yes,1.065,1.886
152055342,O=C(NC[C@H](CO)c1cccnc1)c1cn(Cc2ccccc2)nn1,CNC[C@H](CO)c1cccnc1,-5.1,166.224,0.3769,4,3,2,72.455,-0.391,1.167,78.979,-2.553,No,No,No,0.248,0.686,-0.195,-2.961,No,No,No,No,No,No,No,0.951,No,No,0.944,No,No,2.282,2.635,Yes,Yes,-0.701,2.402
152055344,Cc1ccc(CCNC(=O)N2CCC([N@H+]3CCO[C@H](C)C3)CC2)cc1,CNCCc1ccc(C)cc1,-5.7,149.237,1.75692,3,1,1,68.441,-1.584,1.352,95.022,-1.72,No,No,No,0.867,0.453,0.646,-1.505,No,No,No,No,No,Yes,No,1.003,Yes,No,0.669,No,No,2.305,1.636,Yes,Yes,0.215,1.384
152055345,Cc1cc(F)ccc1NC(=O)N1CC[C@H]([NH+]2CCN(C)CC2)[C@@H](C)C1,CNc1ccc(F)cc1C,-6.1,139.173,2.17582,1,1,1,59.877,-1.775,1.315,92.362,-1.749,No,No,No,0.04,0.393,0.466,-1.613,No,No,Yes,No,No,No,No,0.462,No,No,0.87,No,No,2.108,2.043,No,Yes,0.328,1.414
152055346,OC1(CCNc2nc(C(F)(F)F)ns2)CCC1,CCCC1(O)CCC1,-4.9,114.188,1.7015,2,1,1,50.717,-1.183,1.469,94.055,-2.499,Yes,No,No,0.16,0.64,0.149,-2.713,No,No,No,No,No,No,No,1.272,No,No,0.946,No,No,1.949,1.833,No,Yes,-0.86,2.047
152055347,Cc1cc(F)ccc1NC(=O)N1CC[C@H](N2CCN(C)CC2)[C@@H](C)C1,CNc1ccc(F)cc1C,-6.1,139.173,2.17582,1,1,1,59.877,-1.775,1.315,92.362,-1.749,No,No,No,0.04,0.393,0.466,-1.613,No,No,Yes,No,No,No,No,0.462,No,No,0.87,No,No,2.108,2.043,No,Yes,0.328,1.414
152055348,CC[C@@H]1C[C@H](C(=O)NC[C@@H](CO)c2ccccc2Cl)CC(=O)N1,CC[C@@H]1C[C@H](C(C)=O)CC(=O)N1,-5.5,169.224,0.8802,2,2,1,72.526,-1.11,1.223,88.372,-3.738,No,No,No,-0.02,0.644,-0.213,-2.951,No,No,No,No,No,No,No,0.392,No,No,0.854,No,No,2.022,2.428,No,No,-0.167,2.336
152055349,CCn1cc(CNC(=O)C(C)(C)c2cccnc2)cn1,CC(=O)C(C)(C)c1cccnc1,-5.3,163.22,1.9482,2,2,0,72.637,-1.405,1.518,98.878,-2.374,No,No,No,-0.134,0.532,0.146,-2.72,No,No,Yes,No,No,No,No,0.346,No,No,1.042,No,No,2.235,2.398,No,Yes,0.09,1.537
152055350,COc1ccc(CN(C)C(=O)CN2CCC[C@@H]2c2ccco2)cc1,COc1ccc(CN(C)C)cc1,-4.9,165.236,1.7568,3,2,0,73.765,-1.194,1.363,93.825,-1.905,No,No,No,0.761,0.628,0.72,-2.125,No,No,No,No,No,No,No,0.775,No,No,0.637,No,No,2.631,1.607,No,Yes,0.243,1.412
277249721,COC[C@@H](O)CN1C[C@@H]2C[N@@H+]3CCCC[C@H]3[C@H]2C1,CN1C[C@@H]2C[N@@H+]3CCCC[C@H]3[C@H]2C1,-5.3,181.303,-0.3848,0,1,1,80.891,-0.71,1.352,96.248,-2.872,Yes,No,No,1.118,0.827,0.109,-2.869,No,No,No,No,No,No,No,1.002,No,No,0.547,No,No,2.136,1.144,No,Yes,0.31,2.678
152055351,O=C(Cc1ccccc1F)N1C[C@H](O)C[C@H]1c1ccc(F)c(F)c1,CC(=O)Cc1ccccc1F,-6,152.168,1.9572,2,1,0,64.853,-1.946,1.563,96.33,-2.008,No,No,No,0.002,0.343,0.443,-1.863,No,No,Yes,No,No,No,No,0.198,No,No,1.155,No,No,1.906,2.287,No,Yes,0.375,1.442
152055352,Cc1ccc(CCNC(=O)N2CCC([N@@H+]3CCO[C@H](C)C3)CC2)cc1,CNCCc1ccc(C)cc1,-5.7,149.237,1.75692,3,1,1,68.441,-1.584,1.352,95.022,-1.72,No,No,No,0.867,0.453,0.646,-1.505,No,No,No,No,No,Yes,No,1.003,Yes,No,0.669,No,No,2.305,1.636,Yes,Yes,0.215,1.384
152055353,C[C@@H](Cc1cccc(O)c1)NC(=O)CCc1ccn(C)n1,CN[C@@H](C)Cc1cccc(O)c1,-5.6,165.236,1.5426,3,2,2,73.235,-1.359,1.448,94.185,-2.605,No,No,No,0.825,0.541,-0.089,-1.723,No,No,No,No,No,No,No,0.999,No,No,0.528,No,No,2.435,1.561,Yes,Yes,-0.117,1.663
152055354,CCN1CN(C(=O)N[C@@H](c2ccc(F)cc2)[C@@H]2CCCO2)CC1=O,CN[C@@H](c1ccc(F)cc1)[C@@H]1CCCO1,-5.8,209.264,2.2652,3,2,1,89.444,-1.772,1.418,93.658,-2.324,No,No,No,0.709,0.436,0.36,-2.103,No,No,No,No,No,Yes,No,1.021,No,No,0.272,No,No,2.375,1.791,No,Yes,1.085,1.628
152055356,Cc1ccc(CCNC(=O)N2CCC(N3CCO[C@H](C)C3)CC2)cc1,CNCCc1ccc(C)cc1,-5.7,149.237,1.75692,3,1,1,68.441,-1.584,1.352,95.022,-1.72,No,No,No,0.867,0.453,0.646,-1.505,No,No,No,No,No,Yes,No,1.003,Yes,No,0.669,No,No,2.305,1.636,Yes,Yes,0.215,1.384
152055357,COc1ccc(CN(C)C(=O)C[N@@H+]2CCC[C@@H]2c2ccco2)cc1,CC(=O)C[N@@H+]1CCC[C@@H]1c1ccco1,-5.7,194.254,0.5884,3,2,1,83.696,-0.76,1.567,94.899,-3.214,Yes,No,No,0.412,0.686,-0.089,-3.474,No,No,No,No,No,No,No,1.253,No,No,0.732,No,No,2.686,0.704,Yes,No,0.01,2.281
152055358,COC(=O)[C@H](CF)NC(=O)c1ccn(-c2ccccc2[N+](=O)[O-])n1,Cc1ccccc1[N+](=O)[O-],-5.6,137.138,1.90322,1,2,0,58.449,-2.629,1.291,93.522,-2.121,No,No,No,0.364,0.214,0.169,-1.454,No,No,Yes,No,No,No,No,0.286,No,No,0.763,No,No,2.266,1.885,No,Yes,0.422,1.044
152055359,COc1cnc(C(=O)N2CCc3ccc(O)cc3C2)nc1,COc1cnc(C(C)=O)nc1,-5.4,152.153,0.6878,2,4,0,64.241,-0.79,1.237,98.856,-2.655,No,No,No,-0.447,0.621,-0.334,-2.963,No,No,No,No,No,No,No,0.747,No,No,1.386,No,No,2.46,2.786,No,No,-0.371,2.431
152055361,COc1ccc(CN(C)C(=O)C[N@H+]2CCC[C@@H]2c2ccco2)cc1,CC(=O)C[N@H+]1CCC[C@@H]1c1ccco1,-5.3,194.254,0.5884,3,2,1,83.696,-0.76,1.567,94.899,-3.214,Yes,No,No,0.412,0.686,-0.089,-3.474,No,No,No,No,No,No,No,1.253,No,No,0.732,No,No,2.686,0.704,Yes,No,0.01,2.281
152055362,Cc1ccc([C@H](CNC(=O)[C@H]2CCCCO2)C(=O)[O-])cc1,CC(=O)[C@H]1CCCCO1,-5.6,128.171,1.1445,1,2,0,55.198,-0.631,1.602,100,-2.993,No,No,No,-0.012,0.702,0.021,-2.906,No,No,No,No,No,No,No,0.522,No,No,0.925,No,No,1.928,2.178,No,Yes,-0.679,2.429
152055363,CC(C)NC(=O)[C@@H]1CCC[C@@H](NC(=O)NCCOC2CCCC2)C1,CN[C@@H]1CCC[C@@H](C(C)=O)C1,-4.9,155.241,1.3536,2,2,1,68.364,-0.78,1.464,95.623,-2.896,Yes,No,No,0.449,0.733,0.073,-2.966,No,No,No,No,No,No,No,0.948,No,No,0.706,No,No,2.172,1.363,No,Yes,0.012,2.209
152055364,CC(C)OC[C@H](CO)N(C)C(=O)c1cc(CN2CCCC2)on1,CCc1cc(C(C)=O)no1,-6,139.154,1.4396,2,3,0,59.018,-0.881,1.281,97.239,-2.812,No,No,No,-0.177,0.639,-0.238,-2.8,No,No,No,No,No,No,No,0.44,No,No,1.123,No,No,2.431,2.554,Yes,Yes,-0.534,1.862
152055366,CO[C@@H]1C[C@H](c2nc[nH]n2)N(C(=O)N(C)CC(C)(C)C)C1,CO[C@@H]1C[C@H](c2nc[nH]n2)N(C)C1,-5.1,182.227,0.1963,2,4,1,77.106,-2.142,1.138,83.335,-2.735,No,No,No,-0.565,0.727,-0.401,-5.352,No,No,No,No,No,No,No,0.847,No,No,0.084,No,No,2.483,1.652,Yes,No,0.284,3.081
152055367,CC(C)OC[C@H](CO)N(C)C(=O)c1cc(C[NH+]2CCCC2)on1,CC(=O)c1cc(C[NH+]2CCCC2)on1,-6.4,195.242,0.0559,3,3,1,82.867,-1.074,1.163,99.103,-3.494,No,No,No,0.325,0.815,-0.162,-3.502,No,No,No,No,No,No,No,1.214,No,No,0.32,No,No,2.273,2.239,Yes,No,-0.23,2.811
152055368,O=C(CC[N@@H+]1CCC[C@H]1c1ccco1)NC(=O)Nc1ccccc1,CC(=O)CC[N@@H+]1CCC[C@H]1c1ccco1,-5.5,208.281,0.9785,4,2,1,90.061,-0.961,1.475,93.332,-3.132,No,No,No,0.466,0.732,-0.058,-3.403,No,No,No,No,No,No,No,1.422,No,No,0.128,No,No,2.507,0.614,Yes,Yes,0.148,1.994
152055371,CO[C@@H]1C[C@H](c2nnc[nH]2)N(C(=O)N(C)CC(C)(C)C)C1,CO[C@@H]1C[C@H](c2nnc[nH]2)N(C)C1,-5.6,182.227,0.1963,2,4,1,77.106,-2.166,1.17,76.4,-2.735,No,No,No,-0.49,0.75,-0.385,-5.367,No,No,No,No,No,No,No,0.805,No,No,-0.117,No,No,2.422,1.745,Yes,No,0.285,3.015
152055372,CCc1nc2n(n1)C[C@@H](NC(=O)NC(C)(C)c1nc(C)cs1)CC2,CCc1nc2n(n1)C[C@@H](NC)CC2,-5.5,180.255,0.3747,2,4,1,78.357,-1.134,1.757,100,-3.054,No,No,No,0.238,0.823,-0.206,-3.223,No,No,No,No,No,No,No,1.114,No,No,0.17,No,No,2.63,2.172,Yes,No,0.089,2.084
152055373,COC[C@H](C)[C@@H](C)C(=O)Nc1cccc(N2C(=O)COCC2=O)c1,CNc1cccc(C)c1,-5,121.183,2.03672,1,1,1,55.711,-1.877,1.473,93.704,-1.655,No,No,No,0.244,0.406,0.463,-1.543,No,No,Yes,No,No,No,No,0.386,No,No,0.809,No,No,2.193,2.008,No,Yes,0.194,1.107
152055374,Cc1cc(C(=O)NC[C@@H]2CCC[C@@H]2[NH+]2CCOCC2)cc(C)c1F,CC(=O)c1cc(C)c(F)c(C)c1,-5.7,166.195,2.64514,1,1,0,71.218,-2.967,1.228,97.697,-2.332,No,No,No,0.111,0.385,0.405,-2.073,No,No,Yes,No,No,No,No,0.556,No,No,1.277,No,No,1.819,2.222,No,No,0.653,1.135
343256986,CCCN(CCC)[C@@H](C)C(=O)OC,CCCN(CCC)[C@@H](C)C(C)=O,-4.4,171.284,2.0859,6,2,0,75.945,-1.294,1.476,94.309,-2.206,No,No,No,0.507,0.691,0.385,-2.929,No,No,Yes,No,No,No,No,0.854,No,No,0.591,No,No,2.213,1.527,No,Yes,0.889,1.588
152055375,O=C(CC[N@H+]1CCC[C@H]1c1ccco1)NC(=O)Nc1ccccc1,CC(=O)CC[N@H+]1CCC[C@H]1c1ccco1,-5.5,208.281,0.9785,4,2,1,90.061,-0.961,1.475,93.332,-3.132,No,No,No,0.466,0.732,-0.058,-3.403,No,No,No,No,No,No,No,1.422,No,No,0.128,No,No,2.507,0.614,Yes,Yes,0.148,1.994
152055376,Cc1cc(CCNC(=O)c2ccc(F)c(C#N)c2)on1,CC(=O)c1ccc(F)c(C#N)c1,-6,163.151,1.89998,1,2,0,69.246,-2.334,1.199,97.347,-2.437,No,No,No,-0.094,0.401,0.018,-2.084,No,No,Yes,No,No,No,No,0.645,No,No,1.18,No,No,1.835,2.627,No,No,0.408,1.606
152055377,Cc1cc(C(=O)NC[C@@H]2CCC[C@@H]2N2CCOCC2)cc(C)c1F,CC(=O)c1cc(C)c(F)c(C)c1,-5.7,166.195,2.64514,1,1,0,71.218,-2.967,1.228,97.697,-2.332,No,No,No,0.111,0.385,0.405,-2.073,No,No,Yes,No,No,No,No,0.556,No,No,1.277,No,No,1.819,2.222,No,No,0.653,1.135
152055378,Cn1cc([C@@H]2CCN(C(=O)NCCCCCCC[NH+](C)C)C2)cn1,CN1CC[C@@H](c2cnn(C)c2)C1,-4.7,165.24,0.8392,1,3,0,72.982,-0.823,1.582,96.843,-2.706,No,No,No,0.46,0.66,0.044,-2.762,No,No,No,No,No,No,No,0.797,No,No,0.574,No,No,2.464,1.193,Yes,No,0.493,2.083
152055379,O=C(c1cc([N+](=O)[O-])c2nsnc2c1)N1C[C@@H]2CCC[C@H](C1)C2O,CC(=O)c1cc([N+](=O)[O-])c2nsnc2c1,-6.7,223.213,1.8021,2,6,0,88.019,-3.457,1.111,95.873,-2.679,No,No,No,-0.421,0.195,-0.76,-2.445,No,No,Yes,No,No,No,No,0.341,No,Yes,0.714,No,No,2.039,1.573,No,No,0.715,1.121
152055380,CC[C@@H](C[C@H](C)CO)NC(=O)c1cc(C(C)=O)cn1C,CC(=O)c1cc(C(C)=O)n(C)c1,-5.2,165.192,1.4303,2,3,0,70.998,-1.639,1.44,98.483,-2.651,No,No,No,-0.12,0.578,-0.188,-2.906,No,No,No,No,No,No,No,0.705,No,No,0.937,No,No,2.217,2.281,No,No,0.099,2.261
152055381,CN(C)C(=O)c1cccc(CN2CCO[C@@H](c3cccc(C#N)c3)C2)c1,CCc1cccc(C(C)=O)c1,-6,148.205,2.4516,2,1,0,67.053,-2.567,1.557,96.881,-1.406,No,No,No,0.296,0.337,0.421,-1.85,No,No,Yes,No,No,No,No,0.286,No,No,0.901,No,No,1.819,2.105,No,Yes,0.583,1.084
152055382,O=C(CCN1CCC[C@H]1c1ccco1)NC(=O)Nc1ccccc1,CNc1ccccc1,-5.3,107.156,1.7283,1,1,1,49.346,-1.573,1.519,92.989,-1.76,No,No,No,0.141,0.416,0.441,-1.478,No,No,No,No,No,No,No,0.373,No,No,0.811,No,No,2.2,1.951,No,Yes,0.061,1.422
152055383,O=[N+]([O-])c1cc(F)c(N2CCN([C@H]3CCC[C@@H]3O)CC2)c(F)c1,Cc1c(F)cc([N+](=O)[O-])cc1F,-5.9,173.118,2.18142,1,2,0,66.78,-2.912,1.289,93.326,-2.408,No,No,No,-0.128,0.278,0.213,-1.63,No,No,Yes,No,No,No,No,0.456,No,Yes,0.98,No,No,1.973,1.564,No,Yes,0.898,1.081
152055384,CCn1cc(CNC(=O)c2c[nH]c(=O)cc2C)cn1,CC(=O)c1c[nH]c(=O)cc1C,-5.7,151.165,0.88592,1,2,1,64.069,-1.388,1.205,88.364,-2.934,No,No,No,-0.185,0.584,-0.293,-2.881,No,No,No,No,No,No,No,0.719,No,No,0.924,No,No,1.694,2.743,No,No,-0.21,2.238
152055385,CN(C)C(=O)c1cccc(C[N@@H+]2CCO[C@@H](c3cccc(C#N)c3)C2)c1,CC(=O)c1cccc(C[N@@H+]2CCO[C@@H](c3cccc(C#N)c3)C2)c1,-7.6,321.4,1.91728,4,3,1,141.83,-2.667,1.257,97.045,-2.885,No,Yes,No,0.791,0.255,-0.095,-2.323,No,Yes,Yes,Yes,No,No,No,1.08,Yes,No,-0.001,No,Yes,2.829,2.455,No,No,0.61,0.579
152055386,CCCCOCCNC(=O)N[C@H]1CC[N@H+](Cc2ccccn2)C[C@@H]1C,CN[C@H]1CC[N@H+](Cc2ccccn2)C[C@@H]1C,-5.7,220.34,0.0943,3,2,2,97.874,-0.336,1.67,86.602,-3.058,No,No,No,0.988,0.772,0.139,-3.302,No,No,No,No,No,No,No,1.08,No,No,0.394,No,No,2.129,0.664,Yes,Yes,0.243,2.314
152055387,O=[N+]([O-])c1cc(F)c(N2CC[NH+]([C@H]3CCC[C@@H]3O)CC2)c(F)c1,Cc1c(F)cc([N+](=O)[O-])cc1F,-5.9,173.118,2.18142,1,2,0,66.78,-2.912,1.289,93.326,-2.408,No,No,No,-0.128,0.278,0.213,-1.63,No,No,Yes,No,No,No,No,0.456,No,Yes,0.98,No,No,1.973,1.564,No,Yes,0.898,1.081
152055388,CN(C)C(=O)c1cccc(C[N@H+]2CCO[C@@H](c3cccc(C#N)c3)C2)c1,CN(C)C,-2.4,59.112,0.1778,0,1,0,27.229,0.439,1.371,100,-2.76,Yes,No,No,0.321,0.849,0.061,-2.609,No,No,No,No,No,No,No,0.769,No,No,1.111,No,No,2.177,1.352,No,No,-0.718,2.828
152055389,Cc1cc(F)ccc1NC(=O)N1CC[C@@H]([NH+]2CCN(C)CC2)[C@H](C)C1,CNc1ccc(F)cc1C,-6.1,139.173,2.17582,1,1,1,59.877,-1.775,1.315,92.362,-1.749,No,No,No,0.04,0.393,0.466,-1.613,No,No,Yes,No,No,No,No,0.462,No,No,0.87,No,No,2.108,2.043,No,Yes,0.328,1.414
152055390,COC(=O)[C@@H](CF)NC(=O)c1ccn(-c2ccccc2[N+](=O)[O-])n1,Cc1ccccc1[N+](=O)[O-],-5.6,137.138,1.90322,1,2,0,58.449,-2.629,1.291,93.522,-2.121,No,No,No,0.364,0.214,0.169,-1.454,No,No,Yes,No,No,No,No,0.286,No,No,0.763,No,No,2.266,1.885,No,Yes,0.422,1.044
152055392,Cc1cc(F)ccc1NC(=O)N1CC[C@@H](N2CCN(C)CC2)[C@H](C)C1,CNc1ccc(F)cc1C,-6.1,139.173,2.17582,1,1,1,59.877,-1.775,1.315,92.362,-1.749,No,No,No,0.04,0.393,0.466,-1.613,No,No,Yes,No,No,No,No,0.462,No,No,0.87,No,No,2.108,2.043,No,Yes,0.328,1.414
152055393,Cc1cc2ncn(C[C@H](O)C[N@@H+]3CCC[C@@H]3c3ccco3)c2cc1C,Cc1cc2ncn(C)c2cc1C,-5.6,160.22,2.19014,0,2,0,71.847,-2.522,1.261,92.986,-2.921,Yes,No,No,0.045,0.287,0.238,-2.064,No,No,Yes,No,No,No,No,0.846,Yes,Yes,0.104,No,No,2.509,1.899,No,No,0.285,0.895
152055395,CC(C)n1cccc1C(=O)N1CCC(NC(=O)c2ccoc2)CC1,CC(=O)c1ccoc1,-5,110.112,1.4822,1,2,0,47.117,-0.766,1.519,97.27,-2.492,No,No,No,-0.104,0.603,-0.023,-2.632,No,No,No,No,No,No,No,0.666,No,No,1.105,No,No,2.319,1.857,No,Yes,-0.458,1.892
152055396,NC(=O)[C@@H]1CCC[C@H](C(=O)NC[C@H](CO)c2ccccc2Cl)C1,CC(=O)[C@H]1CCC[C@@H](C(N)=O)C1,-6.2,169.224,0.8671,2,2,1,72.316,-1.046,1.198,81.786,-2.685,No,No,No,-0.197,0.528,-0.254,-2.897,No,No,No,No,No,No,No,0.258,No,Yes,0.629,No,No,1.983,2.649,No,No,-0.036,2.09
152055397,CCCCOCCNC(=O)N[C@H]1CC[N@@H+](Cc2ccccn2)C[C@@H]1C,CN[C@H]1CC[N@@H+](Cc2ccccn2)C[C@@H]1C,-5.4,220.34,0.0943,3,2,2,97.874,-0.336,1.67,86.602,-3.058,No,No,No,0.988,0.772,0.139,-3.302,No,No,No,No,No,No,No,1.08,No,No,0.394,No,No,2.129,0.664,Yes,Yes,0.243,2.314
152055398,COC(=O)CC1CCN(C(=O)[C@@H]2CCC(=O)C[C@H]2C)CC1,CC(=O)[C@@H]1CCC(=O)C[C@H]1C,-5.2,154.209,1.5807,1,2,0,66.976,-1.111,1.321,98.246,-2.731,No,No,No,-0.028,0.617,0.111,-2.679,No,No,No,No,No,No,No,0.287,No,No,0.814,No,No,1.936,2.253,No,Yes,-0.211,2.088
152055399,COC(=O)[C@H](CF)NC(=O)COc1cccc(NC(=O)C2CC2)c1,CNc1cccc(C)c1,-5,121.183,2.03672,1,1,1,55.711,-1.877,1.473,93.704,-1.655,No,No,No,0.244,0.406,0.463,-1.543,No,No,Yes,No,No,No,No,0.386,No,No,0.809,No,No,2.193,2.008,No,Yes,0.194,1.107
152055400,Cc1cc2ncn(C[C@H](O)C[N@H+]3CCC[C@@H]3c3ccco3)c2cc1C,Cc1cc2ncn(C)c2cc1C,-5.6,160.22,2.19014,0,2,0,71.847,-2.522,1.261,92.986,-2.921,Yes,No,No,0.045,0.287,0.238,-2.064,No,No,Yes,No,No,No,No,0.846,Yes,Yes,0.104,No,No,2.509,1.899,No,No,0.285,0.895
152055401,CC[C@@H]([NH2+]CCNC(=O)c1ccccc1)[C@H]1CCOC1,CC(=O)c1ccccc1,-5.9,120.151,1.8892,1,1,0,54.323,-1.922,1.199,96.515,-1.992,No,No,No,0.095,0.393,0.364,-1.857,No,No,No,No,No,No,No,0.282,No,No,1.188,No,No,1.727,1.996,No,Yes,-0.071,1.525
152055402,Cc1cc(C(=O)N2CCC(CN3CCCC3=O)CC2)cc(C)c1F,CC(=O)c1cc(C)c(F)c(C)c1,-5.7,166.195,2.64514,1,1,0,71.218,-2.967,1.228,97.697,-2.332,No,No,No,0.111,0.385,0.405,-2.073,No,No,Yes,No,No,No,No,0.556,No,No,1.277,No,No,1.819,2.222,No,No,0.653,1.135
152055403,COC(=O)[C@@H](CF)NC(=O)COc1cccc(NC(=O)C2CC2)c1,CNc1cccc(C)c1,-5,121.183,2.03672,1,1,1,55.711,-1.877,1.473,93.704,-1.655,No,No,No,0.244,0.406,0.463,-1.543,No,No,Yes,No,No,No,No,0.386,No,No,0.809,No,No,2.193,2.008,No,Yes,0.194,1.107
152055404,Cc1cc2[nH+]cn(C[C@H](O)C[N@@H+]3CCC[C@@H]3c3ccco3)c2cc1C,Cc1cc2[nH+]cn(C)c2cc1C,-5.6,161.228,1.60924,0,1,0,71.847,-2.322,1.36,91.418,-2.735,No,No,No,0.368,0.244,0.422,-1.86,No,No,Yes,No,No,No,No,1.004,No,Yes,-0.079,No,No,2.633,1.585,No,No,0.281,1.192
152055405,O=C(Cc1ccc(Br)c(F)c1)N[C@@H]1CCO[C@H]1C1CC1,CC(=O)Cc1ccc(Br)c(F)c1,-6,231.064,2.7197,2,1,0,78.721,-3.119,1.321,96.279,-2.166,No,No,No,0.086,0.329,0.41,-1.946,No,No,Yes,No,No,No,No,-0.054,No,No,1.12,No,No,2.113,2.05,No,No,0.995,0.701
152055406,CO[C@@H]1C[C@H](NC(=O)c2cc(C(C)=O)cn2C)C1(C)C,CC(=O)c1cc(C(C)=O)n(C)c1,-5.2,165.192,1.4303,2,3,0,70.998,-1.639,1.44,98.483,-2.651,No,No,No,-0.12,0.578,-0.188,-2.906,No,No,No,No,No,No,No,0.705,No,No,0.937,No,No,2.217,2.281,No,No,0.099,2.261
152055407,CCCCOCCNC(=O)N[C@H]1CCN(Cc2ccccn2)C[C@@H]1C,CN[C@H]1CCN(C)C[C@@H]1C,-4.8,142.246,0.546,1,2,1,63.598,-0.319,1.345,94.896,-3.009,Yes,No,No,0.844,0.825,0.093,-2.8,No,No,No,No,No,No,No,0.706,No,No,0.845,No,No,2.167,1.003,Yes,Yes,-0.13,2.622
